what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1271023067917
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023069009
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023072673
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1271023074257
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1271023075774
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023077010
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023079787
activated,editor,com.android.ide.eclipse.adt,0.9.6.v201003030054_MOTODEV,"com.android.ide.eclipse.editors.layout.LayoutEditor",1271023080792
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271023084805
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271023086632
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271023086854
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1271023087998
executed,command,com.motorola.studio.android.launch,1.1.0.release,"com.motorola.studio.android.launch.android.app.run",1271023090898
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023091159
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023092426
started,bundle,com.motorola.studio.android.emulator10,1.2.0.release,"com.motorola.studio.android.emulator10",1271023094086
executed,command,com.motorola.studio.android.launch,1.1.0.release,"com.motorola.studio.android.launch.android.app.run",1271023094995
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023095310
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023097236
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1271023097683
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023098791
started,emulator,com.motorola.studio.android.emulator.service.start,0.5.0.release,"target=Android 2.0.1",1271023100106
error,log,,,"The selected resource cannot be launched.",1271023100137
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023100204
started,emulator,com.motorola.studio.android.emulator.service.start,0.5.0.release,"target=Android 2.0.1",1271023100242
