what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023645599
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023653399
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271023653447
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271023654465
executed,command,com.motorola.studio.android.launch,1.1.0.release,"com.motorola.studio.android.launch.android.app.run",1271023656694
run,application_management,com.motorola.studio.android.launch,1.1.0.release,"device=emulator|use_vdl=n|prj_target=Android 2.0.1|target=Android 2.0.1",1271023656751
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023659751
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023664461
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1271023707226
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1271023711907
executed,command,com.motorola.studio.android.launch,1.1.0.release,"com.motorola.studio.android.launch.android.app.run",1271023715954
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023716279
run,application_management,com.motorola.studio.android.launch,1.1.0.release,"device=emulator|use_vdl=n|prj_target=Android 2.0.1|target=Android 2.0.1",1271023717879
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023717912
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023720864
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023726565
run,application_management,com.motorola.studio.android.launch,1.1.0.release,"device=emulator|use_vdl=n|prj_target=Android 2.0.1|target=Android 2.0.1",1271023741557
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023742884
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271023759979
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271023763132
activated,editor,com.android.ide.eclipse.adt,0.9.6.v201003030054_MOTODEV,"com.android.ide.eclipse.editors.layout.LayoutEditor",1271023763399
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1271023766165
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1271023768443
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1271023778548
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1271023787244
