what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226849576885
started,bundle,com.android.ide.eclipse.ddms,0.8.0.v200809220836-110569,com.android.ide.eclipse.ddms,1226849581037
started,bundle,com.android.ide.eclipse.common,0.8.0.v200809220836-110569,com.android.ide.eclipse.common,1226849581044
started,bundle,com.android.ide.eclipse.adt,0.8.0.v200809220836-110569,com.android.ide.eclipse.adt,1226849581067
started,bundle,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors,1226849581111
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226849581236
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226849584769
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226849586829
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226849607369
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226849609818
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1226849637720
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1226849637851
started,bundle,org.eclipse.jdt.launching,3.4.0.v20080529-1300,org.eclipse.jdt.launching,1226849637880
started,bundle,org.eclipse.team.examples.filesystem,3.4.0.I20080604,org.eclipse.team.examples.filesystem,1226849637965
started,bundle,org.eclipse.jdt.apt.core,3.3.100.v20080513-1235,org.eclipse.jdt.apt.core,1226849637975
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226849638129
started,bundle,org.eclipse.wst.sse.core,1.1.300.v200805221633,org.eclipse.wst.sse.core,1226849641314
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1226849645337
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226849649447
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226849698183
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1226849700664
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1226849700938
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1226849701103
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1226849701512
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1226849704998
