what,kind,bundleId,bundleVersion,description,time
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271022484435
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271022487453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271022488887
activated,editor,com.android.ide.eclipse.adt,0.9.6.v201003030054_MOTODEV,"com.android.ide.eclipse.editors.layout.LayoutEditor",1271022527319
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271022553767
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271022655906
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271022657183
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1271022657720
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271022658128
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271022658457
activated,editor,com.android.ide.eclipse.adt,0.9.6.v201003030054_MOTODEV,"com.android.ide.eclipse.editors.layout.LayoutEditor",1271022663183
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271022674570
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271022721449
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1271022722071
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271022723519
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1271022724907
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271022725292
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271022725604
activated,editor,com.android.ide.eclipse.adt,0.9.6.v201003030054_MOTODEV,"com.android.ide.eclipse.editors.layout.LayoutEditor",1271022728775
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1271022762996
activated,editor,com.android.ide.eclipse.adt,0.9.6.v201003030054_MOTODEV,"com.android.ide.eclipse.editors.layout.LayoutEditor",1271022783358
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1271022785453
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1271022786893
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1271022815645
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1271022816860
