what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.2.200.v20080417,org.eclipse.update.configurator,1226849081048
started,bundle,org.eclipse.update.core,3.2.200.v20080515,org.eclipse.update.core,1226849081062
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1226849081062
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.0.R200806162215,org.eclipse.epp.usagedata.gathering,1226849081063
started,bundle,org.eclipse.epp.usagedata.recording,1.0.0.R200806162215,org.eclipse.epp.usagedata.recording,1226849081063
started,bundle,org.eclipse.jdt.core,3.4.0.v_874,org.eclipse.jdt.core,1226849081064
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1226849081065
started,bundle,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui,1226849081067
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.0.v20080619-1900,org.eclipse.mylyn.bugzilla.core,1226849081071
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.bugzilla.ui,1226849081072
started,bundle,org.eclipse.mylyn.commons.net,3.0.0.v20080619-1900,org.eclipse.mylyn.commons.net,1226849081072
started,bundle,org.eclipse.mylyn.commons.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.commons.ui,1226849081074
started,bundle,org.eclipse.mylyn.compatibility,3.0.0.v20080619-1900,org.eclipse.mylyn.compatibility,1226849081075
started,bundle,org.eclipse.mylyn.context.core,3.0.0.v20080619-1900,org.eclipse.mylyn.context.core,1226849081077
started,bundle,org.eclipse.mylyn.context.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.context.ui,1226849081087
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.monitor.ui,1226849081087
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui,1226849081093
started,bundle,org.eclipse.mylyn.team.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.team.ui,1226849081096
started,bundle,org.eclipse.team.cvs.core,3.3.100.I20080605,org.eclipse.team.cvs.core,1226849081103
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1226849081105
started,bundle,org.eclipse.ui.examples.contributions,3.3.0.I20080606-0100,org.eclipse.ui.examples.contributions,1226849081122
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1226849095251
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1226849095288
closed,view,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.internal.introview,1226849095304
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226849098282
